Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
39.0	0.07961837	0.11014193	0.06291281	-7.8201294e-05	-0.02812481	0.010436416	-0.007982552
42.0	0.08233088	0.113704264	0.069051445	0.003818512	-0.03372979	0.008205473	-0.02887696
45.0	0.081014216	0.1030162	0.07782912	-0.004031539	-0.036612928	0.013025045	0.004151225
48.0	0.0831095	0.104227066	0.06819415	-0.0008633733	-0.03875369	0.023565292	-0.034390926
51.0	0.082762	0.10469419	0.06522572	0.00070774555	-0.028781414	0.01644659	-0.0007981658
54.0	0.07958853	0.104931414	0.060287833	0.0072278976	-0.0310449	0.01710689	-0.02210778
57.0	0.07438481	0.09939331	0.052934766	0.0056039095	-0.029468477	0.017094672	-0.024048388
60.0	0.07165873	0.10396135	0.05326754	0.0015141368	-0.025245726	0.009822369	-0.009950161
63.0	0.06621289	0.101389766	0.049049735	-0.006282091	-0.026583314	-0.00084483624	-0.016543686
66.0	0.06301528	0.104409516	0.045542896	-0.0068359375	-0.024894357	-0.0066866875	-0.012318015
69.0	0.052267075	0.09402597	0.04434055	-0.010899425	-0.019275784	-0.011427224	-0.027530313
72.0	0.06385189	0.092393994	0.037910342	-0.0110116005	-0.022033274	-0.013320982	-0.028306961
Compound=>['Drug-B_GeneOff', 'Drug-B', 'DMSO_Drug-B_GeneOff']	Drug-B 45.7 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 137.2 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 411.5 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 1234.6 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 3703.7 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 11111.1 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 33333.3 nM DMSO_Drug-B_GeneOff 0.1 % 
0.0	-0.069399804	-0.0604316	-0.019317962	-0.07980478	-0.05963876	-0.040206075	-0.0074248984
3.0	-0.046265937	-0.026615016	-0.013847232	-0.072833836	-0.027737387	-0.020023674	0.028649509
6.0	-0.06099704	-0.03275615	-0.017968051	-0.05543071	-0.035785675	-0.023537457	0.0037902296
9.0	-0.059592158	-0.03586837	-0.015562333	-0.034585327	-0.04161012	-0.021151066	0.01034081
12.0	-0.042577393	-0.04946234	-0.009579517	-0.021269232	-0.027393907	-0.032604873	0.024475694
15.0	-0.045589104	-0.047392905	-0.013192505	-0.028159589	-0.025205478	-0.025004953	0.016524106
18.0	-0.037233263	-0.0356972	-0.0057427883	-0.019390628	-0.0212719	-0.020749718	0.023741007
21.0	-0.024994165	-0.028954744	-0.010731988	-0.0054867715	-0.022781774	-0.02134487	0.02821958
24.0	-0.030775748	-0.017714456	0.0021610707	-0.009989649	-0.028728172	-0.024906754	0.030066103
27.0	-0.036425605	-0.01584351	-0.019194186	-0.0090761185	-0.028196573	-0.019832522	0.026333988
30.0	-0.027032852	-0.007572353	-0.04087478	-0.0053187907	-0.021394253	-0.015225619	0.026052862
33.0	-0.031252563	-0.010475025	-0.04330921	-0.027948141	-0.026394993	-0.026660055	0.025221556
36.0	-0.03357017	-0.01432693	-0.038021147	-0.011663109	-0.027800858	-0.018148988	0.018862218
39.0	-0.029454648	-0.013610177	-0.02287203	-0.017311096	-0.027653933	-0.025097787	0.024878532
42.0	-0.033557713	-0.020658255	-0.011228204	-0.019292325	-0.025298983	-0.020311415	0.022625536
45.0	-0.032901168	-0.029769123	-0.008168459	-0.01604703	-0.033996373	-0.031585574	0.014746666
48.0	-0.043086715	-0.035825916	-0.024478115	-0.025185078	-0.038883418	-0.030635238	0.019170702
51.0	-0.04799819	-0.024943225	-0.018906482	-0.018503338	-0.04165268	-0.03167832	0.0041205883
